Time,,Flow,Stage
3.072916667,,87.818,2.227
3.083333333,,89.8,2.255
3.09375,,91.638,2.281
3.104166667,,93.19,2.303
3.114583333,,94.952,2.328
3.125,,96.851,2.355
3.135416667,,98.747,2.382
3.145833333,,100.709,2.41
3.15625,,101.549,2.422
3.166666667,,103.437,2.449
3.177083333,,106.022,2.476
3.1875,,107.705,2.492
3.197916667,,110.046,2.514
3.208333333,,111.551,2.528
3.21875,,112.959,2.541
3.229166667,,115.367,2.563
3.239583333,,116.803,2.576
3.25,,118.474,2.591
3.260416667,,120.046,2.605
3.270833333,,122.427,2.626
3.28125,,124.259,2.642
3.291666667,,125.529,2.653
3.302083333,,127.038,2.666
3.3125,,128.442,2.678
3.322916667,,130.919,2.699
3.333333333,,131.87,2.707
3.34375,,134.628,2.73
3.354166667,,137.297,2.752
3.364583333,,139.997,2.774
3.375,,143.73,2.804
3.385416667,,147.52,2.834
3.395833333,,152.276,2.871
3.40625,,156.329,2.902
3.416666667,,159.777,2.928
3.427083333,,164.353,2.962
3.4375,,169.144,2.997
3.447916667,,174.438,3.035
3.458333333,,176.979,3.053
3.46875,,181.983,3.088
3.479166667,,190.458,3.146
3.489583333,,198.705,3.201
3.5,,206.694,3.253
3.510416667,,215.028,3.306
3.520833333,,222.583,3.353
3.53125,,233.787,3.421
3.541666667,,244.801,3.486
3.552083333,,253.128,3.534
3.5625,,263.052,3.59
3.572916667,,273.089,3.645
3.583333333,,282.675,3.697
3.59375,,291.851,3.746
3.604166667,,300.606,3.791
3.614583333,,308.931,3.834
3.625,,316.823,3.874
3.635416667,,324.28,3.911
3.645833333,,331.303,3.945
3.65625,,337.896,3.977
3.666666667,,344.064,4.006
3.677083333,,349.817,4.034
3.6875,,355.164,4.059
3.697916667,,360.117,4.082
3.708333333,,364.692,4.103
3.71875,,368.903,4.122
3.729166667,,372.767,4.14
3.739583333,,376.302,4.156
3.75,,379.529,4.17
3.760416667,,382.467,4.184
3.770833333,,385.138,4.196
3.78125,,387.564,4.206
3.791666667,,389.768,4.216
3.802083333,,391.773,4.225
3.8125,,393.603,4.233
3.822916667,,395.283,4.24
3.833333333,,396.837,4.247
3.84375,,398.291,4.254
3.854166667,,399.67,4.26
3.864583333,,401,4.265
3.875,,402.306,4.271
3.885416667,,399.965,4.261
3.895833333,,397.629,4.251
3.90625,,395.293,4.24
3.916666667,,392.955,4.23
3.927083333,,390.612,4.22
3.9375,,388.259,4.209
3.947916667,,385.893,4.199
3.958333333,,383.511,4.188
3.96875,,381.111,4.178
3.979166667,,378.688,4.167
3.989583333,,376.24,4.156
4,,373.763,4.144
4.010416667,,371.255,4.133
4.020833333,,368.713,4.121
4.03125,,366.134,4.11
4.041666667,,363.514,4.098
4.052083333,,360.852,4.085
4.0625,,358.144,4.073
4.072916667,,355.389,4.06
4.083333333,,352.583,4.047
4.09375,,349.724,4.033
4.104166667,,346.81,4.02
4.114583333,,343.839,4.005
4.125,,340.807,3.991
4.135416667,,337.714,3.976
4.145833333,,334.557,3.961
4.15625,,331.335,3.945
4.166666667,,328.045,3.929
4.177083333,,324.686,3.913
4.1875,,321.256,3.896
4.197916667,,317.755,3.878
4.208333333,,314.18,3.86
4.21875,,310.53,3.842
4.229166667,,306.804,3.823
4.239583333,,303.002,3.804
4.25,,299.123,3.784
4.260416667,,295.166,3.763
4.270833333,,291.13,3.742
4.28125,,287.015,3.72
4.291666667,,282.821,3.698
4.302083333,,278.548,3.675
4.3125,,274.487,3.653
4.322916667,,271.008,3.634
4.333333333,,266.651,3.61
4.34375,,264.129,3.596
4.354166667,,259.127,3.568
4.364583333,,256.47,3.553
4.375,,254.181,3.54
4.385416667,,251.031,3.522
4.395833333,,247.559,3.502
4.40625,,242.745,3.474
4.416666667,,240.529,3.461
4.427083333,,237.481,3.443
4.4375,,233.118,3.417
4.447916667,,229.961,3.398
4.458333333,,227.65,3.384
4.46875,,225.026,3.368
4.479166667,,222.258,3.351
4.489583333,,220.963,3.343
4.5,,219.671,3.335
4.510416667,,216.144,3.313
4.520833333,,215.506,3.309
4.53125,,212.176,3.288
4.541666667,,209.346,3.27
4.552083333,,207.784,3.26
4.5625,,203.754,3.234
4.572916667,,202.063,3.223
4.583333333,,198.554,3.2
4.59375,,198.099,3.197
4.604166667,,197.342,3.192
4.614583333,,194.781,3.175
4.625,,191.942,3.156
4.635416667,,188.686,3.134
4.645833333,,185.9,3.115
4.65625,,181.839,3.087
4.666666667,,181.12,3.082
4.677083333,,179.972,3.074
4.6875,,177.689,3.058
4.697916667,,176.271,3.048
4.708333333,,173.176,3.026
4.71875,,171.083,3.011
4.729166667,,169.282,2.998
4.739583333,,167.081,2.982
4.75,,164.217,2.961
4.760416667,,162.46,2.948
4.770833333,,160.847,2.936
4.78125,,158.047,2.915
4.791666667,,157.121,2.908
4.802083333,,154.36,2.887
4.8125,,152.795,2.875
4.822916667,,152.405,2.872
4.833333333,,150.466,2.857
4.84375,,149.309,2.848
4.854166667,,147.52,2.834
4.864583333,,147.011,2.83
4.875,,145.113,2.815
4.885416667,,144.483,2.81
4.895833333,,139.75,2.772
4.90625,,138.766,2.764
4.916666667,,138.153,2.759
4.927083333,,137.786,2.756
4.9375,,136.323,2.744
4.947916667,,134.507,2.729
4.958333333,,134.146,2.726
4.96875,,132.945,2.716
4.979166667,,132.109,2.709
4.989583333,,131.275,2.702
5,,130.208,2.693
5.010416667,,129.147,2.684
5.020833333,,128.911,2.682
5.03125,,127.856,2.673
5.041666667,,126.689,2.663
5.052083333,,125.76,2.655
5.0625,,124.951,2.648
5.072916667,,124.605,2.645
5.083333333,,123.8,2.638
5.09375,,121.744,2.62
5.104166667,,120.949,2.613
5.114583333,,119.595,2.601
5.125,,119.595,2.601
5.135416667,,118.139,2.588
5.145833333,,117.136,2.579
5.15625,,116.692,2.575
5.166666667,,115.587,2.565
5.177083333,,114.488,2.555
5.1875,,113.068,2.542
5.197916667,,113.831,2.549
5.208333333,,112.2,2.534
5.21875,,110.582,2.519
5.229166667,,110.582,2.519
5.239583333,,109.939,2.513
5.25,,108.659,2.501
5.260416667,,107.6,2.491
5.270833333,,107.072,2.486
5.28125,,105.812,2.474
5.291666667,,105.812,2.474
5.302083333,,103.787,2.454
5.3125,,103.298,2.447
5.322916667,,102.389,2.434
5.333333333,,102.459,2.435
5.34375,,101.409,2.42
5.354166667,,100.639,2.409
5.364583333,,100.079,2.401
5.375,,99.658,2.395
5.385416667,,99.308,2.39
5.395833333,,99.167,2.388
5.40625,,98.045,2.372
5.416666667,,97.272,2.361
5.427083333,,96.64,2.352
5.4375,,95.796,2.34
5.447916667,,95.796,2.34
5.458333333,,95.304,2.333
5.46875,,94.881,2.327
5.479166667,,93.966,2.314
5.489583333,,93.472,2.307
5.5,,93.331,2.305
5.510416667,,92.344,2.291
5.520833333,,92.838,2.298
5.53125,,92.203,2.289
5.541666667,,92.062,2.287
5.552083333,,91.285,2.276
5.5625,,91.002,2.272
5.572916667,,91.214,2.275
5.583333333,,90.083,2.259
5.59375,,90.72,2.268
5.604166667,,90.083,2.259
5.614583333,,90.366,2.263
5.625,,91.002,2.272
5.635416667,,91.355,2.277
5.645833333,,92.203,2.289
5.65625,,93.825,2.312
5.666666667,,94.248,2.318
5.677083333,,96.148,2.345
5.6875,,97.413,2.363
5.697916667,,98.747,2.382
5.708333333,,100.429,2.406
5.71875,,101.829,2.426
5.729166667,,103.368,2.448
5.739583333,,105.394,2.47
5.75,,107.705,2.492
5.760416667,,108.872,2.503
5.770833333,,111.012,2.523
5.78125,,112.092,2.533
5.791666667,,111.659,2.529
5.802083333,,113.395,2.545
5.8125,,113.941,2.55
5.822916667,,114.597,2.556
5.833333333,,115.037,2.56
5.84375,,115.037,2.56
5.854166667,,116.028,2.569
5.864583333,,116.803,2.576
5.875,,116.471,2.573
5.885416667,,117.136,2.579
5.895833333,,115.587,2.565
5.90625,,116.36,2.572
5.916666667,,114.159,2.552
5.927083333,,114.159,2.552
5.9375,,111.659,2.529
5.947916667,,112.417,2.536
5.958333333,,110.797,2.521
5.96875,,110.046,2.514
5.979166667,,108.659,2.501
5.989583333,,108.553,2.5
6,,107.705,2.492
6.010416667,,106.441,2.48
6.020833333,,105.812,2.474
6.03125,,105.917,2.475
6.041666667,,105.603,2.472
6.052083333,,104.458,2.461
6.0625,,103.787,2.454
6.072916667,,103.857,2.455
6.083333333,,103.647,2.452
6.09375,,102.948,2.442
6.104166667,,102.808,2.44
6.114583333,,101.549,2.422
6.125,,101.339,2.419
6.135416667,,100.849,2.412
6.145833333,,99.378,2.391
6.15625,,100.219,2.403
6.166666667,,98.957,2.385
6.177083333,,98.536,2.379
6.1875,,98.887,2.384
6.197916667,,97.834,2.369
6.208333333,,97.553,2.365
6.21875,,97.062,2.358
6.229166667,,97.272,2.361
6.239583333,,96.851,2.355
6.25,,96.288,2.347
6.260416667,,96.359,2.348
6.270833333,,95.867,2.341
6.28125,,96.007,2.343
6.291666667,,96.078,2.344
6.302083333,,95.726,2.339
6.3125,,95.796,2.34
6.322916667,,96.148,2.345
6.333333333,,96.007,2.343
6.34375,,96.288,2.347
6.354166667,,98.045,2.372
6.364583333,,97.975,2.371
6.375,,98.676,2.381
6.385416667,,99.027,2.386
6.395833333,,99.308,2.39
6.40625,,98.957,2.385
6.416666667,,99.027,2.386
6.427083333,,98.185,2.374
6.4375,,98.045,2.372
6.447916667,,96.71,2.353
6.458333333,,96.71,2.353
6.46875,,96.781,2.354
6.479166667,,95.656,2.338
6.489583333,,95.374,2.334
6.5,,95.022,2.329
6.510416667,,94.741,2.325
6.520833333,,93.684,2.31
6.53125,,94.388,2.32
6.541666667,,93.966,2.314
6.552083333,,92.979,2.3
6.5625,,92.838,2.298
6.572916667,,92.203,2.289
6.583333333,,92.414,2.292
6.59375,,91.991,2.286
6.604166667,,92.767,2.297
6.614583333,,92.908,2.299
6.625,,93.895,2.313
6.635416667,,93.825,2.312
6.645833333,,94.741,2.325
6.65625,,94.318,2.319
6.666666667,,95.093,2.33
6.677083333,,96.007,2.343
6.6875,,96.71,2.353
6.697916667,,97.062,2.358
6.708333333,,96.148,2.345
6.71875,,96.851,2.355
6.729166667,,96.71,2.353
6.739583333,,96.851,2.355
6.75,,96.499,2.35
6.760416667,,96.991,2.357
6.770833333,,97.062,2.358
6.78125,,97.624,2.366
6.791666667,,97.202,2.36
6.802083333,,96.991,2.357
6.8125,,98.185,2.374
6.822916667,,98.817,2.383
6.833333333,,98.326,2.376
6.84375,,98.396,2.377
6.854166667,,99.167,2.388
6.864583333,,98.957,2.385
6.875,,98.887,2.384
6.885416667,,99.378,2.391
6.895833333,,98.747,2.382
6.90625,,98.536,2.379
6.916666667,,98.466,2.378
6.927083333,,97.975,2.371
6.9375,,97.624,2.366
6.947916667,,97.764,2.368
6.958333333,,96.57,2.351
6.96875,,96.781,2.354
6.979166667,,96.359,2.348
6.989583333,,94.952,2.328
7,,95.163,2.331
